"model_name","model_level","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"XGBoost","Level 1","Ensemble","Overall","SBP","32.70%","33.40%","34.40%"
"XGBoost","Level 1","Ensemble","Black","SBP","31.40%","33.80%","36.40%"
"XGBoost","Level 1","Ensemble","Asian","SBP","13.10%","21.00%","26.80%"
"XGBoost","Level 1","Ensemble","White","SBP","33.20%","34.40%","35.80%"
"XGBoost","Level 1","Ensemble","Hispanic/Latino","SBP","26.30%","28.30%","30.90%"
"XGBoost","Level 2","Ensemble","Overall","SBP","32.90%","33.60%","34.60%"
"XGBoost","Level 2","Ensemble","Black","SBP","31.80%","34.10%","36.60%"
"XGBoost","Level 2","Ensemble","Asian","SBP","14.50%","21.60%","27.70%"
"XGBoost","Level 2","Ensemble","White","SBP","33.30%","34.30%","35.80%"
"XGBoost","Level 2","Ensemble","Hispanic/Latino","SBP","27.20%","29.10%","31.60%"
"XGBoost","Level 3","Ensemble","Overall","SBP","33.60%","34.20%","35.20%"
"XGBoost","Level 3","Ensemble","Black","SBP","32.90%","35.10%","37.50%"
"XGBoost","Level 3","Ensemble","Asian","SBP","15.50%","22.80%","28.30%"
"XGBoost","Level 3","Ensemble","White","SBP","33.50%","34.50%","35.90%"
"XGBoost","Level 3","Ensemble","Hispanic/Latino","SBP","29.30%","31.00%","33.40%"
"XGBoost","csx","Ensemble","Overall","SBP","31.50%","32.30%","33.20%"
"XGBoost","csx","Ensemble","Black","SBP","32.30%","34.40%","36.80%"
"XGBoost","csx","Ensemble","Asian","SBP","14.80%","22.00%","26.40%"
"XGBoost","csx","Ensemble","White","SBP","30.50%","31.80%","33.20%"
"XGBoost","csx","Ensemble","Hispanic/Latino","SBP","27.50%","29.20%","31.90%"
"Linear Regression","Level 1","Ensemble","Overall","SBP","32.40%","33.10%","34.10%"
"Linear Regression","Level 1","Ensemble","Black","SBP","31.40%","33.90%","36.30%"
"Linear Regression","Level 1","Ensemble","Asian","SBP","13.20%","20.80%","26.20%"
"Linear Regression","Level 1","Ensemble","White","SBP","32.80%","33.90%","35.30%"
"Linear Regression","Level 1","Ensemble","Hispanic/Latino","SBP","26.40%","28.30%","30.90%"
"Linear Regression","Level 2","Ensemble","Overall","SBP","32.70%","33.40%","34.40%"
"Linear Regression","Level 2","Ensemble","Black","SBP","31.80%","34.20%","36.60%"
"Linear Regression","Level 2","Ensemble","Asian","SBP","14.20%","21.30%","26.70%"
"Linear Regression","Level 2","Ensemble","White","SBP","33.00%","34.00%","35.40%"
"Linear Regression","Level 2","Ensemble","Hispanic/Latino","SBP","27.10%","28.90%","31.60%"
"Linear Regression","Level 3","Ensemble","Overall","SBP","33.80%","34.50%","35.50%"
"Linear Regression","Level 3","Ensemble","Black","SBP","33.50%","35.50%","38.30%"
"Linear Regression","Level 3","Ensemble","Asian","SBP","15.40%","22.70%","28.10%"
"Linear Regression","Level 3","Ensemble","White","SBP","33.50%","34.50%","36.00%"
"Linear Regression","Level 3","Ensemble","Hispanic/Latino","SBP","30.00%","31.70%","34.30%"
"Linear Regression","csx","Ensemble","Overall","SBP","31.50%","32.30%","33.20%"
"Linear Regression","csx","Ensemble","Black","SBP","32.30%","34.50%","36.80%"
"Linear Regression","csx","Ensemble","Asian","SBP","14.90%","22.00%","26.30%"
"Linear Regression","csx","Ensemble","White","SBP","30.40%","31.80%","33.10%"
"Linear Regression","csx","Ensemble","Hispanic/Latino","SBP","27.40%","29.30%","31.90%"
